MS_SURVEILLANCE_ID;MS_SURVEILLANCE_NAME;ENDOS_ID;ENDOS_NAME
yGE5Zp32YCl;Burkina Faso/Centre Sud/Bazega/DS Sapone/Saponé/CSPS Yansaré;XeYWGkJhkMB;Burkina Faso/Centre Sud/Bazega/DS Sapone/Saponé/CSPS Yansaré
h8ZckfwIrEC;Burkina Faso/Centre Sud/Zoundweogo/DS Manga/Gogo/CSPS Yambassé;wLqImySHpUd;Burkina Faso/Centre Sud/Zoundweogo/DS Manga/Gogo/CSPS Yambasse
KlIsbConTiv;Burkina Faso/Centre Sud/Zoundweogo/DS Manga/Gomboussougou/CSPS Goyenga;e11KNax6pV4;Burkina Faso/Centre Sud/Zoundweogo/DS Manga/Gomboussougou/CSPS Korguerya
m4DdkFGqDO1;Burkina Faso/Centre/Kadiogo/DS Bogodogo/Bogodogo/CM ALAVI;qN8amdbsVUl;Burkina Faso/Centre/Kadiogo/DS Bogodogo/Bogodogo/CM ALAVI
ECZ3biyQAD5;Burkina Faso/Centre/Kadiogo/DS Bogodogo/Saaba/CSPS Barogo;G4NP4KWTMmY;Burkina Faso/Centre/Kadiogo/DS Bogodogo/Saaba/CSPS Bargo
k1OisFveHSO;Burkina Faso/Centre/Kadiogo/DS Boulmiougou/Komsilga C/CSPS Googho;oALXVoqbMwx;Burkina Faso/Centre/Kadiogo/DS Boulmiougou/Komsilga C/CSPS Googho
gDa18vsCwSJ;Burkina Faso/Centre/Kadiogo/DS Boulmiougou/Komsilga C/CSPS Pamnoghin;NE9lCFTNiIa;Burkina Faso/Centre/Kadiogo/DS Boulmiougou/Komsilga C/CSPS Pamnoghin
aTQBeMkbicN;Burkina Faso/Centre/Kadiogo/DS Boulmiougou/Komsilga C/CSPS Sabtoana;rqnfHukQGHJ;Burkina Faso/Centre/Kadiogo/DS Boulmiougou/Komsilga C/CSPS Sabtoana
TFzkDTA5TzD;Burkina Faso/Centre/Kadiogo/DS Boulmiougou/Tanghin Dassouri/CSPS Gueswendé;RNjWjBExXGG;Burkina Faso/Centre/Kadiogo/DS Boulmiougou/Tanghin Dassouri/CSPS Gueswende
cXWINr8slLO;Burkina Faso/Centre/Kadiogo/DS Boulmiougou/Tanghin Dassouri/CSPS Ouéguelga;JnofbXhN0Sd;Burkina Faso/Centre/Kadiogo/DS Boulmiougou/Tanghin Dassouri/CSPS Oueguelga
xegqECQtQ04;Burkina Faso/Centre/Kadiogo/DS Boulmiougou/Tanghin Dassouri/CSPS Zanguinguessé;KmWjpBVrBOH;Burkina Faso/Centre/Kadiogo/DS Boulmiougou/Tanghin Dassouri/CSPS Zanguiguesse
mzuU7GLxhaj;Burkina Faso/Est/Gnagna/DS Bogande/Bogande/CSPS Kankalsi;ftBh3M5xuVQ;Burkina Faso/Est/Gnagna/DS Bogande/Bogande/CSPS Kankalsi
yHmRVmWOPEl;Burkina Faso/Est/Gnagna/DS Bogande/Bogande/CSPS Urbain 1 Bogande;AOasuBmbPSj;Burkina Faso/Est/Gnagna/DS Bogande/Bogande/CSPS Urbain N°1 Bogande
VSuQZXDsKYO;Burkina Faso/Est/Gnagna/DS Bogande/Piela/CSPS Badalgou;y6Fe6cfE5bR;Burkina Faso/Est/Gnagna/DS Bogande/Piela/CSPS Badalgou
